JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|Timelimit|NodeList|QOS|ScheduledBy|JobName|NVEs|ToTSusT
31|31|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat38|normal|0|31|1|00:00:00
29|29|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat38|normal|0|29|6|00:00:00
26|26|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat29|normal|0|26|3|00:00:00
25|25|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat29|normal|0|25|1|00:00:00
22|22|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat14|normal|0|22|1|00:00:00
20|20|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat14|normal|0|20|2|00:00:00
19|19|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat14|normal|0|19|1|00:00:00
16|16|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat18|normal|0|16|1|00:00:00
13|13|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat14|normal|0|13|1|00:00:00
11|11|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat14|normal|0|11|2|00:00:00
8|8|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat1|normal|0|8|3|00:00:00
7|7|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat1|normal|0|7|1|00:00:00
5|5|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat1|normal|0|5|2|00:00:00
4|4|micro|normal|account1|users|100|user1|1001|2021-01-01T00:00:45|2021-01-01T00:00:45|2021-01-01T00:01:30|2021-01-01T00:18:10|00:16:40|0:0|COMPLETED|1|2|2|2800Mn|00:18:00|sxat1|normal|0|4|1|00:00:00
